bb,bb,bb,bb,bb,bb,bb,0,0,bb,bb,bb,bb,bb,bb,bb
bb,bb,bb,bb,bb,bb,bb,0,0,bb,bb,bb,bb,bb,bb,bb
bb,bb,bt,bt,bt,bt,bt,bt,bt,bt,bt,bt,bt,bt,bb,bb
bb,bb,bt,bt,bt,bt,bt,bt,bw,bt,bt,bt,bt,bt,bb,bb
bb,bb,bt,bt,bt,bt,bt,bw,bt,bw,bt,bt,bt,bt,bb,bb
0,0,bt,bt,bt,bt,pb,bt,bstairs,bt,bw,bt,bt,bt,0,0
bb,bb,bt,bt,bt,bt,bt,bw,bt,bw,bt,bt,bt,bt,bb,bb
bb,bb,bt,bt,bt,bt,bt,bt,bw,bt,bt,bt,bt,bt,bb,bb
bb,bb,bt,bt,bt,bt,bt,bt,bt,bt,bt,bt,bt,bt,bb,bb
bb,bb,bb,bb,bb,bb,bb,0,0,bb,bb,bb,bb,bb,bb,bb
bb,bb,bb,bb,bb,bb,bb,0,0,bb,bb,bb,bb,bb,bb,bb
